"text", "translation"
"レース終盤で3番手の時に負けそうにな\nると秘めた闘志に火が付き速度が上がる","在比賽終盤處於第三名快要輸掉的時候激發潛藏的昂揚鬥志，速度加快(終盤，名次=3，距離後方馬馬身≤1)"
"レースを冷静に運ぶことができると残り\n200mで実力発揮、速度がすごく上がる","能夠冷靜地進行比賽的規劃時，就能夠在最後200米發揮實力，大幅加速(debuff數量=0，剩餘距離≤201，剩餘距離≥199，名次≥5，名次≤60%)"
"中盤に後ろの方で順位を下げた時に\n優しい光で持久力を回復する","中盤處於後方名次下降時，用柔光恢復持久力(中盤、被超越次數>0、名次≥40%, 中盤, 被超越次數>0, 名次≥40%)"
"最終コーナー以降に前めで力が尽きかけ\n詰め寄られると速度が上がる","比賽中盤在前方準備拉近距離時加快速度(中盤，名次≥3且名次≤50%，拉進自身與前馬距離時)"
"最終コーナーで中団から前を狙う時\n魂を燃え滾らせて加速力を上げる","最終彎道處於中部向前瞄準時，燃燒靈魂，提升加速度(最終彎道、名次≥4且名次≤75%、拉進自身與前馬距離時, 最終彎道, 名次≥4且名次≤75%, 拉進自身與前馬距離時)"
"レース中盤で前の方から\n仕掛け始める時に速度が上がる","比賽中盤在前方準備拉近距離時加快速度(中盤，名次≥3且名次≤50%，拉進自身與前馬距離時)"
"最終コーナーで前の方で抜くと速度が\n後ろの方で抜くと加速力が上がる","稍微擅長順時針賽道(順時針（右轉）跑道)"
"右回りコースが得意になる","會變得擅長順時針賽道(順時針（右轉）跑道)"
"右回りコースが少し得意になる","稍微擅長順時針賽道(順時針（右轉）跑道)"
"右回りコースが少し苦手になる","稍微不擅長順時針賽道(順時針（右轉）跑道)"
"左回りコースが得意になる","擅長逆時針賽道(逆時針（左轉）跑道)"
"左回りコースが少し得意になる","稍微擅長逆時針賽道(逆時針（左轉）跑道)"
"左回りコースが少し苦手になる","稍微不擅長逆時針賽道(逆時針（左轉）跑道)"
"東京レース場が得意になる","擅長東京競馬場的比賽(東京場)"
"東京レース場が少し得意になる","稍微擅長東京競馬場的比賽(東京場)"
"東京レース場が少し苦手になる","稍微不擅長東京競馬場的比賽(東京場)"
"中山レース場が得意になる","擅長中山競馬場的比賽(中山場)"
"中山レース場が少し得意になる","稍微擅長中山競馬場的比賽(中山場)"
"中山レース場が少し苦手になる","稍微不擅長中山競馬場的比賽(中山場)"
"阪神レース場が得意になる","擅長阪神競馬場的比賽(阪神場)"
"阪神レース場が少し得意になる","稍微擅長阪神競馬場的比賽(阪神場)"
"阪神レース場が少し苦手になる","稍微不擅長阪神競馬場的比賽(阪神場)"
"京都レース場が得意になる","擅長京都競馬場的比賽(京都場)"
"京都レース場が少し得意になる","稍微擅長京都競馬場的比賽(京都場)"
"京都レース場が少し苦手になる","稍微不擅長京都競馬場的比賽(京都場)"
"中京レース場が得意になる","擅長中京競馬場的比賽(中京場)"
"中京レース場が少し得意になる","稍微擅長中京競馬場的比賽(中京場)"
"中京レース場が少し苦手になる","稍微不擅長中京競馬場的比賽(中京場)"
"札幌レース場が得意になる","擅長札幌競馬場的比賽(札幌場)"
"札幌レース場が少し得意になる","稍微擅長札幌競馬場的比賽(札幌場)"
"札幌レース場が少し苦手になる","稍微不擅長札幌競馬場的比賽(札幌場)"
"函館レース場が得意になる","擅長函館競馬場的比賽(函館場)"
"函館レース場が少し得意になる","稍微擅長函館競馬場的比賽(函館場)"
"函館レース場が少し苦手になる","稍微不擅長函館競馬場的比賽(函館場)"
"福島レース場が得意になる","擅長福島競馬場的比賽(福島場)"
"福島レース場が少し得意になる","稍微擅長福島競馬場的比賽(福島場)"
"福島レース場が少し苦手になる","稍微不擅長福島競馬場的比賽(福島場)"
"新潟レース場が得意になる","擅長新瀉競馬場的比賽(新潟場)"
"新潟レース場が少し得意になる","稍微擅長新瀉競馬場的比賽(新潟場)"
"新潟レース場が少し苦手になる","稍微不擅長新瀉競馬場的比賽(新潟場)"
"小倉レース場が得意になる","擅長小倉競馬場的比賽(小倉場)"
"小倉レース場が少し得意になる","稍微擅長小倉競馬場的比賽(小倉場)"
"小倉レース場が少し苦手になる","稍微不擅長小倉競馬場的比賽(小倉場)"
"根幹距離（400mの倍数）が\n得意になる","擅長根幹距離（400m的倍數）的比賽(賽程全長為400倍數)"
"根幹距離（400mの倍数）が\n少し得意になる","稍微擅長根幹距離（400m的倍數）的比賽(賽程全長為400倍數)"
"根幹距離（400mの倍数）が\n少し苦手になる","稍微不擅長根幹距離（400m的倍數）的比賽(賽程全長為400倍數)"
"非根幹距離（400mの倍数以外）が\n得意になる","擅長非根幹距離（400m的倍數以外）的比賽(賽程全長不為400倍數)"
"非根幹距離（400mの倍数以外）が\n少し得意になる","稍微擅長非根幹距離（400m的倍數以外）的比賽(賽程全長不為400倍數)"
"非根幹距離（400mの倍数以外）が\n少し苦手になる","稍微不擅長非根幹距離（400m的倍數以外）的比賽(賽程全長不為400倍數)"
"「良」のバ場状態が得意になる","擅長「良」的馬場狀態(良場)"
"「良」のバ場状態が少し得意になる","稍微擅長「良」的馬場狀態(良場)"
"「良」のバ場状態が少し苦手になる","稍微不擅長「良」的馬場狀態(良場)"
"「稍重」「重」「不良」のバ場状態が\n得意になる","擅長「稍重」「重」「不良」的馬場狀態(稍重場，重場，不良場)"
"「稍重」「重」「不良」のバ場状態が\n少し得意になる","稍微擅長「稍重」「重」「不良」的馬場狀態(稍重場，重場，不良場)"
"「稍重」「重」「不良」のバ場状態が\n少し苦手になる","不擅長「稍重」「重」「不良」的馬場狀態(稍重場，重場，不良場)"
"春のレースが得意になる","擅長春季的比賽(春天)"
"春のレースが少し得意になる","稍微擅長春季的比賽(春天)"
"春のレースが少し苦手になる","不擅長春季的比賽(春天)"
"夏のレースが得意になる","擅長夏季的比賽(夏天)"
"夏のレースが少し得意になる","稍微擅長夏季的比賽(夏天)"
"夏のレースが少し苦手になる","不擅長夏季的比賽(夏天)"
"秋のレースが得意になる","擅長秋季的比賽(秋天)"
"秋のレースが少し得意になる","稍微擅長秋季的比賽(秋天)"
"秋のレースが少し苦手になる","不擅長秋季的比賽(秋天)"
"冬のレースが得意になる","擅長冬季的比賽(冬天)"
"冬のレースが少し得意になる","稍微擅長冬季的比賽(冬天)"
"冬のレースが少し苦手になる","不擅長冬季的比賽(冬天)"
"晴れの日のレースが得意になる","擅長晴天的比賽(晴天)"
"晴れの日のレースが少し得意になる","稍微擅長晴天的比賽(晴天)"
"曇りの日のレースが得意になる","擅長陰天的比賽(陰天)"
"曇りの日のレースが少し得意になる","稍微擅長陰天的比賽(陰天)"
"雨の日のレースが得意になる","擅長雨天的比賽(雨天)"
"雨の日のレースが少し得意になる","稍微擅長雨天的比賽(雨天)"
"雨の日のレースが少し苦手になる","不擅長雨天的比賽(雨天)"
"雪の日のレースが得意になる","擅長雪天的比賽(雪天)"
"雪の日のレースが少し得意になる","稍微擅長雪天的比賽(雪天)"
"枠番が1～3のレースが得意になる","擅長1~3號枠番的比賽(枠番≤3)"
"枠番が1～3のレースが少し得意になる","稍微擅長1~3號枠番的比賽(枠番≤3)"
"枠番が1～3のレースが少し苦手になる","不擅長1~3號枠番的比賽(枠番≤3)"
"枠番が6～8のレースが得意になる","擅長6~8號枠番的比賽(枠番≥6)"
"枠番が6～8のレースが少し得意になる","稍微擅長6~8號枠番的比賽(枠番≥6)"
"枠番が6～8のレースが少し苦手になる","不擅長6~8號枠番的比賽(枠番≥6)"
"自分と同じ作戦のウマ娘がいないと\n能力を発揮しやすい","沒有其他馬娘選擇與自己相同的戰術時能力更容易發揮(相同策略馬娘數量≤1)"
"自分と同じ作戦のウマ娘がいないと\n能力を少し発揮しやすい","沒有其他馬娘選擇與自己相同的戰術時能力稍微更容易發揮(相同策略馬娘數量≤1)"
"自分と同じ作戦のウマ娘が6人以上だと\n能力を発揮しやすい","有6人以上的其他馬娘選擇與自己相同的戰術時能力更容易發揮(相同策略馬娘數量≥6)"
"自分と同じ作戦のウマ娘が6人以上だと\n能力を少し発揮しやすい","有6人以上的其他馬娘選擇與自己相同的戰術時能力稍微更容易發揮(相同策略馬娘數量≥6)"
"自分と同じ作戦のウマ娘が6人以上だと\n能力を少し発揮しにくい","有6人以上的其他馬娘選擇與自己相同的戰術時能力難以發揮(相同策略馬娘數量≥6)"
"1番人気のウマ娘と作戦が同じだと\n能力を発揮しやすい","與人氣第一的馬娘選擇相同戰術時能力更容易發揮(和第一人氣馬娘相同作戰方式)"
"1番人気のウマ娘と作戦が同じだと\n能力を少し発揮しやすい","與人氣第一的馬娘選擇相同戰術時能力稍微更容易發揮(和第一人氣馬娘相同作戰方式)"
"4番人気以下のレースで\n能力を発揮しやすい","人氣第四以下時能力更容易發揮(人氣第四以下)"
"4番人気以下のレースで\n能力を少し発揮しやすい","人氣第四以下時能力稍微更容易發揮(人氣第四以下)"
"GⅠなどの大舞台のレースが\n少し苦手になる","不擅長G1比賽(G1比賽)"
"1番人気になる事が少し苦手になる","對成為人氣第一感到棘手(人氣第一)"
"コーナーが得意になり\n速度が上がる","變得擅長彎道,速度加快(彎道)"
"コーナーが得意になり\n速度がわずかに上がる","變得擅長彎道,速度略微加快(彎道)"
"コーナーが苦手になり\n速度が少し下がる","變得不擅長彎道,速度少量減慢(彎道)"
"華麗なコーナーワークで\n加速力が上がる","華麗地過彎,加速度提升(彎道)"
"華麗なコーナーワークで\n加速力がわずかに上がる","華麗地過彎,加速度略微提升(彎道)"
"ぎこちないコーナーワークで\n加速力が少し下がる","生硬地過彎,加速度少量下降(彎道)"
"無駄のないコーナリングで\n持久力が回復する","完美過彎,持久力回復(彎道)"
"無駄のないコーナリングで\n持久力がわずかに回復する","完美過彎,持久力略微回復(彎道)"
"無駄の多いコーナリングで\n持久力が少し減少する","低效過彎,持久力少量減少(彎道)"
"直線で速度が上がる","在直線上的速度加快(直線)"
"直線で速度がわずかに上がる","在直線的速度略微上升<作戰·追馬>(追馬，直線)"
"直線で加速力が上がる","在直線上的加速度提升<短距離>(短距離，直線)"
"直線で加速力がわずかに上がる","在直線上的加速度略微提升<短距離>(短距離，直線)"
"直線で持久力が回復する","在直線上持久力回復(直線)"
"直線で持久力がわずかに回復する","在直線上持久力略微回復(直線)"
"上り坂で少し\n疲れてしまいがちになる","上坡時容易疲勞(上坡)"
"周りを囲まれると\n持久力が少し減少する","四周被包圍的話,持久力少量減少()"
"最終直線で最後方付近にいると\n少しあきらめてしまいがちになる","最終直線位於末尾時更容易放棄(最終直線)"
"残り200m付近で先頭だと\n少し油断しがちになる","在剩餘200米處處於排頭時，容易變得大意(剩餘距離≤200m)"
"スタートが得意になり\n出遅れる時間が少なくなる","擅長起跑,晚出發的時間減少(一半幾率觸發？)"
"スタートが得意になり\n出遅れる時間がわずかに少なくなる","擅長起跑,晚出發的時間略微減少(一半幾率觸發？)"
"スタートが苦手になり\n出遅れる時間が少し増える","不擅長起跑,晚出發的時間少量增加(一半幾率觸發出遲)"
"レース序盤に前が詰まった時に\n強い意志を保ち持久力が回復する","比賽初期前方擁擠時,保持堅強的意志,持久力回復(序盤，賽事進行時間≥5，前方被阻隔時間≥1)"
"レース序盤に前が詰まった時に\n隠れて持久力がわずかに回復する","比賽初期前方擁擠時,隱藏實力,持久力略微回復(序盤，賽事進行時間≥5，前方被阻隔時間≥1)"
"レース序盤にコース取りがうまくなる","比賽初期容易取得好路線(序盤)"
"レース序盤にコース取りが\n少しうまくなる","比賽初期略微容易取得好路線(序盤)"
"レース中盤に追い抜くと\n速度が上がる","比賽中盤超過別人時,速度加快(中盤，超過至少一人)"
"レース中盤に追い抜くと\n速度がわずかに上がる","比賽中盤超過別人時,速度略微加快(中盤，超過至少一人)"
"レース中盤に追い抜かれると\n持久力が回復する","比賽中盤被超過時,持久力回復(中盤，超越次數>0)"
"レース中盤に追い抜かれると\n持久力がわずかに回復する","比賽中盤被超過時,持久力略微回復(中盤，超越次數>0)"
"レース中盤に囲まれると\n持久力が回復する","比賽中盤被包圍時,持久力回復(中盤，四周被阻隔時間≥1)"
"レース中盤に囲まれると\n持久力がわずかに回復する","比賽中盤被包圍時,持久力略微回復(中盤，四周被阻隔時間≥1)"
"ラストスパートで前が塞がれた時の\n立ち回りがうまくなる","最後衝刺階段前方擁擠時,會更擅長回避(前方被阻隔時間≥1，最後衝刺，體力剩餘≥1)"
"ラストスパートで前が塞がれた時の\n立ち回りがわずかにうまくなる","最後衝刺階段前方擁擠時,會略微擅長回避(前方被阻隔時間≥1，最後衝刺，體力剩餘≥1)"
"レース終盤にコース取りがうまくなる","比賽終盤容易取得好路線(終盤)"
"レース終盤にコース取りが\n少しうまくなる","比賽終盤略微容易取得好路線(終盤)"
"ラストスパートで速度が上がる","最後衝刺階段速度加快(最後衝刺)"
"ラストスパートで速度がわずかに上がる","最後衝刺階段速度略微加快(最後衝刺)"
"先頭で大きくリードし過ぎると\n少し疲れてしまいがちになる","領跑過頭的話,容易疲勞(賽事進行時間≥2，名次=1，距離後方馬馬身≥1)"
"レース序盤で\n前に行きやすくなる＜作戦・逃げ＞","比賽初期更容易獲得領先<作戰·逃馬>(逃馬，序盤，賽事進行時間≥5)"
"レース序盤でわずかに\n前に行きやすくなる＜作戦・逃げ＞","比賽初期略微容獲得領先<作戰·逃馬>(逃馬，序盤，賽事進行時間≥5)"
"レース中盤で\n前に行きやすくなる＜作戦・逃げ＞","比賽中盤容易獲得領先<作戰·逃馬>(逃馬，中盤，名次≤50%)"
"レース中盤でわずかに\n前に行きやすくなる＜作戦・逃げ＞","比賽中盤略微容易獲得領先<作戰·逃馬>(逃馬，中盤，名次≤50%)"
"最終コーナーで先頭を\nキープしやすくなる＜作戦・逃げ＞","最終彎道容易保持領先<作戰·逃馬>(逃馬，最終彎道，名次=1)"
"最終コーナーで先頭をわずかに\nキープしやすくなる＜作戦・逃げ＞","最終彎道略微容易保持領先<作戰·逃馬>(逃馬，最終彎道，名次=1)"
"レース序盤で疲れにくくなる\n＜作戦・先行＞","比賽初盤略微不容易疲勞<作戰·先行>(先行，序盤，賽事進行時間≥5，名次≤50%)"
"レース序盤でわずかに疲れにくくなる\n＜作戦・先行＞","比賽初盤不容易疲勞<作戰·先行>(先行，序盤，賽事進行時間≥5，名次≤50%)"
"レース中盤で疲れにくくなる\n＜作戦・先行＞","比賽中盤不容易疲勞<作戰·先行>(先行，中盤，名次≤50%)"
"レース中盤でわずかに疲れにくくなる\n＜作戦・先行＞","比賽中盤略微不容易疲勞<作戰·先行>(先行，中盤，名次≤50%)"
"最終コーナーで抜け出しやすくなる\n＜作戦・先行＞","在最終彎道上容易突圍<作戰·先行>(先行，最終彎道，名次≤50%)"
"最終コーナーでわずかに\n抜け出しやすくなる＜作戦・先行＞","在最終彎道上略微容易突圍<作戰·先行>(先行，最終彎道，名次≤50%)"
"レース中盤で速度が上がる\n＜作戦・差し＞","比賽中盤時速度加快<作戰·差行>(差行，中盤，名次>50%)"
"レース中盤で速度がわずかに上がる\n＜作戦・差し＞","比賽中盤時速度略微加快<作戰·差行>(差行，中盤，名次>50%)"
"レース終盤で加速力が上がる\n＜作戦・差し＞","比賽終盤時加速度提升<作戰·差行>(差行，終盤，名次>50%)"
"レース終盤で加速力がわずかに上がる\n＜作戦・差し＞","比賽終盤時加速度略微提升<作戰·差行>(差行，終盤，名次>50%)"
"最終コーナーで外から追い抜くと\n速度が上がる＜作戦・差し＞","在最終彎道從外道趕超時，速度加快<作戰·差行>(差行，最終彎道，在外道，超過至少一人)"
"最終コーナーで外から追い抜くと\n速度がわずかに上がる＜作戦・差し＞","在最終彎道從外道趕超時，速度略微加快<作戰·差行>(差行，最終彎道，在外道，超過至少一人)"
"レース中盤に脚を溜めて\n疲れにくくなる＜作戦・追込＞","在比賽中盤積攢腳力，不容易疲勞<作戰·追馬>(追馬，中盤，自身處於隊伍位置≥75%)"
"レース中盤に脚を溜めて\nわずかに疲れにくくなる＜作戦・追込＞","在比賽中盤積攢腳力，略微不容易疲勞<作戰·追馬>(追馬，中盤，自身處於隊伍位置≥75%)"
"レース終盤に追い込み態勢に入り\n位置を上げる＜作戦・追込＞","比賽終盤進入追馬狀態，提高順位<作戰·追馬>(追馬，終盤，自身處於隊伍位置≥75%)"
"レース終盤に追い込み態勢に入り\n位置をわずかに上げる＜作戦・追込＞","比賽終盤進入追馬狀態，略微提高順位<作戰·追馬>(追馬，終盤，自身處於隊伍位置≥75%)"
"ラストスパートの直線で\n加速力が上がる＜作戦・追込＞","在最後衝刺階段的直線上加速度提升<作戰·追馬>(追馬，最後衝刺，直線)"
"ラストスパートの直線で\n加速力がわずかに上がる＜作戦・追込＞","在最後衝刺階段的直線上加速度略微提升<作戰·追馬>(追馬，最後衝刺，直線)"
"直線で加速力が上がる\n＜短距離＞","在直線上的加速度提升<短距離>(短距離，直線)"
"直線で加速力がわずかに上がる\n＜短距離＞","在直線上的加速度略微提升<短距離>(短距離，直線)"
"レース中盤に後ろの方だと\nわずかに疲れにくくなる＜短距離＞","比賽中盤位於後方時，略微不容易疲勞<短距離>(短距離，中盤，名次>50%)"
"レース終盤に後ろの方だと\nスパートしやすくなる＜短距離＞","比賽中盤位於後方時，容易衝刺<短距離>(短距離，終盤，名次>50%)"
"レース終盤に後ろの方だとわずかに\nスパートしやすくなる＜短距離＞","比賽中盤位於後方時，略微容易衝刺<短距離>(短距離，終盤，名次>50%)"
"レース序盤に先頭だと\n差を広げやすくなる＜マイル＞","比賽初期領先時，容易拉開差距<英里>(英里，序盤，賽事進行時間≥5S，名次=1)"
"レース序盤に先頭だとわずかに\n差を広げやすくなる＜マイル＞","比賽初期領先時，略微容易拉開差距<英里>(英里，序盤，賽事進行時間≥5S，名次=1)"
"レース序盤に後ろの方だと\n疲れにくくなる＜マイル＞","比賽初期位於後方時，不容易疲勞<英里>(英里，序盤，賽事進行時間≥5，名次>50%)"
"レース序盤に後ろの方だと\nわずかに疲れにくくなる＜マイル＞","比賽初期位於後方時，略微不容易疲勞<英里>(英里，序盤，賽事進行時間≥5，名次>50%)"
"レース終盤に後ろの方だと\n追い抜く力が上がる＜マイル＞","比賽終盤位於後方時，趕超別人的能力會提升<英里>(英里，終盤，名次>50%)"
"レース終盤に後ろの方だと\n追い抜く力がわずかに上がる＜マイル＞","比賽終盤位於後方時，趕超別人的能力會略微提升<英里>(英里，終盤，名次>50%)"
"レース中盤に先頭だと\n疲れにくくなる＜中距離＞","比賽中盤領先時，不容易疲勞<中距離>(中距離，中盤，名次=1)"
"レース中盤に先頭だと\nわずかに疲れにくくなる＜中距離＞","比賽中盤領先時，略微不容易疲勞<中距離>(中距離，中盤，名次=1)"
"レース中盤に前の方だと\n好位置を取りやすくなる＜中距離＞","比賽中盤位於前列時，容易取得好位置<中距離>(中距離，中盤，名次≤50%)"
"レース中盤に前の方だとわずかに\n好位置を取りやすくなる＜中距離＞","比賽中盤位於前列時，略微容易取得好位置<中距離>(中距離，中盤，名次≤50%)"
"最終コーナーで追い抜かれると\n差し返しやすくなる＜中距離＞","最終彎道被超過的話容易追回來<中距離>(中距離，最終彎道，超車次數>0)"
